,FileName,FloatWMO,Pres_Adj,Temp_Adj,Sal_Adj,Oxy_Adj,Flux_Calc
125,coriolis/6901751,6901751,1.0,1.0,1.0,0.0,0.0
126,coriolis/6901752,6901752,1.0,1.0,1.0,0.0,0.0
127,coriolis/6901753,6901753,1.0,1.0,1.0,0.0,0.0
128,coriolis/6901754,6901754,1.0,1.0,1.0,0.0,0.0
129,coriolis/6901755,6901755,1.0,1.0,1.0,1.0,0.0
130,coriolis/6901756,6901756,0.0,0.0,0.0,1.0,0.0
131,coriolis/6901757,6901757,1.0,1.0,1.0,1.0,0.0
132,coriolis/6901758,6901758,1.0,1.0,1.0,0.0,0.0
133,coriolis/6901759,6901759,1.0,1.0,1.0,0.0,0.0
134,coriolis/6901760,6901760,1.0,1.0,1.0,0.0,0.0
135,coriolis/6901762,6901762,1.0,1.0,1.0,0.0,0.0
136,coriolis/6901763,6901763,0.0,0.0,0.0,1.0,0.0
137,coriolis/6902544,6902544,1.0,1.0,1.0,1.0,0.0
138,coriolis/6902545,6902545,1.0,1.0,1.0,0.0,0.0
139,coriolis/6902547,6902547,0.0,0.0,0.0,,0.0
140,coriolis/6902548,6902548,1.0,1.0,1.0,1.0,0.0
141,coriolis/6902549,6902549,1.0,1.0,1.0,1.0,0.0
142,coriolis/6902550,6902550,1.0,1.0,1.0,1.0,0.0
143,coriolis/6902666,6902666,1.0,0.0,0.0,0.0,0.0
144,coriolis/6902667,6902667,1.0,0.0,0.0,0.0,0.0
145,coriolis/6902668,6902668,1.0,0.0,0.0,0.0,0.0
146,coriolis/6902669,6902669,1.0,0.0,0.0,0.0,0.0
147,coriolis/6902670,6902670,1.0,0.0,0.0,0.0,0.0
148,coriolis/6902671,6902671,1.0,0.0,0.0,1.0,0.0
149,coriolis/6902686,6902686,1.0,1.0,1.0,1.0,0.0
150,coriolis/6902800,6902800,1.0,1.0,1.0,1.0,24.47
151,coriolis/6902801,6902801,1.0,1.0,1.0,0.0,0.0
152,coriolis/6902802,6902802,1.0,1.0,1.0,0.0,62.77
153,coriolis/6902805,6902805,1.0,1.0,1.0,1.0,0.0
154,coriolis/6902806,6902806,1.0,1.0,1.0,1.0,0.0
155,coriolis/6902807,6902807,1.0,1.0,1.0,0.0,0.0
156,coriolis/6902808,6902808,1.0,1.0,1.0,0.0,0.0
157,coriolis/6902810,6902810,1.0,1.0,1.0,1.0,0.0
158,coriolis/6902811,6902811,1.0,1.0,1.0,0.0,0.0
159,coriolis/6902812,6902812,1.0,1.0,1.0,0.0,0.0
160,coriolis/6902818,6902818,0.0,0.0,0.0,1.0,0.0
161,coriolis/6902819,6902819,1.0,1.0,1.0,0.0,0.0
162,coriolis/6902829,6902829,1.0,0.0,0.0,0.0,0.0
163,coriolis/6902868,6902868,1.0,1.0,1.0,1.0,0.0
164,coriolis/6902869,6902869,1.0,1.0,1.0,1.0,0.0
165,coriolis/6902881,6902881,0.0,0.0,0.0,0.0,0.0
166,coriolis/6902882,6902882,0.0,0.0,0.0,0.0,0.0
167,coriolis/6902884,6902884,0.0,0.0,0.0,0.0,0.0
168,coriolis/6902886,6902886,0.0,0.0,0.0,0.0,0.0
169,coriolis/6902888,6902888,0.0,0.0,0.0,0.0,0.0
170,coriolis/6902896,6902896,1.0,0.0,0.0,1.0,0.0
171,coriolis/6902897,6902897,1.0,0.0,0.0,1.0,0.0
172,coriolis/6902953,6902953,1.0,0.0,0.0,1.0,0.0
173,coriolis/6902967,6902967,1.0,0.0,0.0,1.0,0.0
174,coriolis/6902970,6902970,0.0,0.0,0.0,0.0,0.0
175,coriolis/6902971,6902971,0.0,0.0,0.0,0.0,0.0
176,coriolis/6902972,6902972,0.0,0.0,0.0,1.0,0.0
177,coriolis/6902973,6902973,0.0,0.0,0.0,1.0,0.0
178,coriolis/6902974,6902974,0.0,0.0,0.0,1.0,0.0
179,coriolis/6902975,6902975,0.0,0.0,0.0,1.0,0.0
180,coriolis/6902976,6902976,0.0,0.0,0.0,0.0,0.0
181,coriolis/6902978,6902978,0.0,0.0,0.0,1.0,20.0
182,coriolis/6903029,6903029,0.0,0.0,0.0,0.0,0.0
183,coriolis/6903030,6903030,0.0,0.0,0.0,0.0,0.0
184,coriolis/6903032,6903032,0.0,0.0,0.0,0.0,0.0
185,coriolis/6903034,6903034,0.0,0.0,0.0,0.0,0.0
186,coriolis/6903273,6903273,1.0,1.0,1.0,1.0,0.0
187,coriolis/6903549,6903549,0.0,0.0,0.0,1.0,0.0
188,coriolis/6903551,6903551,0.0,0.0,0.0,1.0,0.0
189,coriolis/6903553,6903553,1.0,1.0,1.0,,0.0
190,coriolis/6903554,6903554,1.0,1.0,1.0,1.0,0.0
191,coriolis/6903555,6903555,1.0,1.0,1.0,,0.0
192,coriolis/6903556,6903556,0.0,0.0,0.0,1.0,0.0
193,coriolis/6903557,6903557,0.0,0.0,0.0,1.0,0.0
194,coriolis/6903558,6903558,0.0,0.0,0.0,0.0,0.0
195,coriolis/6903567,6903567,1.0,1.0,1.0,1.0,0.0
196,coriolis/6903569,6903569,1.0,1.0,1.0,1.0,0.0
197,coriolis/6903570,6903570,1.0,1.0,1.0,1.0,0.0
198,coriolis/6903571,6903571,0.0,0.0,0.0,1.0,0.0
199,coriolis/6903572,6903572,0.0,0.0,0.0,1.0,0.0
200,coriolis/6903574,6903574,0.0,0.0,0.0,1.0,0.0
201,coriolis/7900566,7900566,1.0,1.0,1.0,1.0,71.43
