,FloatWMO,ProfNum,Date,Date_6hr,Lat,Lon,MLD,Surf_T,Surf_S,Surf_O,Oxy_Sat,Oxy_Dev,k_L13,Fp_L13,Fc_L13,Fd_L13,Ft_L13,k_N16,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4900345,20.0,2004-09-20 04:01:36.000192,2004-09-20 06:00:00.000000,50.516,-47.989,,11.001999855041504,34.12900161743164,273.6767272949219,101.19,3.2059661902359835,6.18440305772305e-05,2.9257231776435334e-07,2.914243360636118e-07,-1.915520076819219e-07,3.9244464614604325e-07,0.00014140687923759078,-4.616008791094105e-08,-4.3176140146807384e-07,4.3798522452655957e-07,-3.993626485245531e-08
0,4900345,23.0,2004-10-05 04:28:34.000507,2004-10-05 06:00:00.000000,49.939,-48.382,,10.75100040435791,33.957000732421875,284.1242980957031,104.36,11.876386024227088,2.3317813648093725e-05,-2.7085889909551952e-08,6.926082555462029e-09,-1.6348446464989013e-07,-1.8364427200398006e-07,2.4473639317869272e-05,-1.4295124752987354e-09,-1.3332642603572824e-08,1.7158812066599802e-07,1.5682596558712646e-07
0,4900345,25.0,2004-10-15 04:11:47.000540,2004-10-15 06:00:00.000000,49.873,-48.095,,10.317000389099121,34.066001892089844,278.43914794921875,101.41,3.8711817389884686,2.659108942708437e-05,-1.1930560443920394e-08,1.2042433241892369e-08,-1.1023325885392793e-07,-1.1012138605595596e-07,3.220220134315896e-05,-2.7054507476505753e-09,-2.5179088710454455e-08,1.334941017012698e-07,1.0560956224316475e-07
0,4900345,27.0,2004-10-25 02:31:42.000395,2004-10-25 00:00:00.000000,49.402,-47.69,,10.206999778747559,34.04399871826172,275.4208068847656,100.06,0.16085605295467076,2.00605606315266e-05,1.4663332951678276e-08,4.104565038709817e-09,3.30209387173187e-08,5.1788836707706796e-08,1.8380289301712605e-05,-7.248988330772303e-10,-6.740387656544875e-09,-3.025510691284467e-08,-3.772039340246678e-08
0,4900345,28.0,2004-10-30 04:35:55.000726,2004-10-30 06:00:00.000000,49.003,-47.442,,9.942000389099121,34.013999938964844,270.3746032714844,97.65,-6.519600577875167,0.00010922860215363726,4.025353658397834e-06,2.92602989138232e-06,-2.997184280622987e-07,6.6516651217178555e-06,0.0003658358708357298,-2.3993159890945327e-07,-2.2264455938335178e-06,1.0038373646992116e-06,-1.4625398280437597e-06
0,4900345,29.0,2004-11-04 06:04:25.999887,2004-11-04 06:00:00.000000,48.739,-46.988,,8.722000122070312,34.106998443603516,318.4763488769531,112.07,34.301692804555785,2.4787840749437973e-05,-3.1537680724394164e-07,1.0875360991431038e-08,-1.1096994233465797e-06,-1.4142008695990903e-06,2.9205064734068003e-05,-2.359454556741938e-09,-2.171987958070274e-08,1.3074492377852495e-06,1.2833699036478047e-06
0,4900345,30.0,2004-11-09 04:45:12.001126,2004-11-09 06:00:00.000000,48.851,-46.411,,8.338000297546387,34.14500045776367,279.58978271484375,97.58,-6.932858023721394,6.0465736672277776e-05,1.3441162170720637e-06,3.54130853494743e-07,4.711024001451526e-07,2.1693494707119594e-06,0.00014151732929447612,-5.3982390003908136e-08,-4.956618820861809e-07,-1.1025939178431615e-06,-1.6522381899332505e-06
0,4900345,32.0,2004-11-19 04:08:02.000106,2004-11-19 06:00:00.000000,49.479,-45.668,,8.406999588012695,34.07400131225586,280.0660400390625,97.85,-6.16542902242486,2.0293739416336343e-05,2.3785002941358386e-08,5.195515205520592e-09,6.47810993807373e-08,9.376161752761628e-08,1.9740846825621684e-05,-9.856266081706535e-10,-9.049941439918234e-09,-6.301617133415346e-08,-7.305173938224235e-08
0,4900345,33.0,2004-11-24 06:07:08.001019,2004-11-24 06:00:00.000000,49.524,-45.572,,8.59000015258789,34.0629997253418,281.84765625,98.86,-3.2480214284059343,3.5674930894023626e-05,1.5719412809565788e-07,4.49606665699049e-08,1.2600874638827083e-07,3.281635410538336e-07,6.0703831818984906e-05,-1.118597335634598e-08,-1.0283966904946918e-07,-2.1441425552294716e-07,-3.284398979287623e-07
0,4900345,34.0,2004-11-29 04:59:14.999248,2004-11-29 06:00:00.000000,49.569,-45.492,,8.07800006866455,34.08300018310547,298.5972900390625,103.57,10.279953136972267,2.572457438660557e-05,1.5120755284523597e-09,1.3441329076515689e-08,-7.410226265071568e-08,-5.914885804574763e-08,3.2004047793350665e-05,-3.203979412933368e-09,-2.9348200857125295e-08,9.219092684789963e-08,5.963874657784095e-08
0,4900345,35.0,2004-12-04 06:15:16.999047,2004-12-04 06:00:00.000000,49.613,-45.645,,9.562999725341797,34.09000015258789,275.3572998046875,98.69,-3.6662158445385558,5.2512880110365495e-05,4.375180669072278e-07,1.8033497070781027e-07,9.190111733797232e-08,7.097541549530104e-07,0.00011259547876138315,-3.3136013465922265e-08,-3.068413082191709e-07,-1.970497577666182e-07,-5.370270794517113e-07
0,4900345,38.0,2004-12-19 05:58:37.000289,2004-12-19 06:00:00.000000,49.327,-44.79,,7.931000232696533,34.143001556396484,277.0196228027344,95.81,-12.120730331077255,1.7867981364126678e-05,6.162435786798249e-08,3.345432886328198e-09,3.1471029471011123e-07,3.7968008546442193e-07,1.550366190639927e-05,-5.64263504925758e-10,-5.165109516547549e-09,-2.7306733246569586e-07,-2.787967054871692e-07
0,3901668,54.0,2019-06-17 20:52:35.000000,2019-06-17 18:00:00.000000,58.22249,-55.87681,,6.42110013961792,34.688886642456055,324.2242126464844,108.79,26.19843103140147,1.2582725404738554e-05,-3.094787793022026e-08,1.0187781409686542e-09,-3.278430927739894e-07,-3.57772192563241e-07,8.01855978089924e-06,-8.068829285556226e-11,-7.328159249437915e-10,2.08923691299274e-07,2.0811018708147464e-07
0,3901668,55.0,2019-06-24 20:09:05.000000,2019-06-24 18:00:00.000000,58.94312,-55.63774,,6.333603382110596,34.557268142700195,324.9389241536458,108.71,26.02153198594931,2.670530806103848e-05,-2.769740675130312e-07,1.877108455576967e-08,-8.216797724077834e-07,-1.0798827553650448e-06,3.619748265194524e-05,-4.514066799049268e-09,-4.092830758973625e-08,1.1137388581777125e-06,1.068296483788927e-06
