,BC_Float,Gyre_Float
0,6902800.0,3901669
1,6902800.0,3901668
2,6902800.0,4901781
3,6902800.0,4902384
4,6902800.0,4902409
5,6902800.0,7900566
6,6902800.0,4902386
7,6902800.0,4902383
8,6902800.0,4902481
9,6902800.0,3901667
10,6902800.0,4900494
