,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4901781.0,2015-05-10 12:00:00,57.43828045040019,-51.91404784134379,-2.177828502043418e-07,7.357353092031723e-08,-5.018176203000688e-07,-6.460269395840934e-07,-1.8143890551315953e-08,-1.608197008379104e-07,9.485421652296488e-07,7.695785738404225e-07
1,4901781.0,2015-05-10 18:00:00,57.45306793166704,-51.92251579379927,-1.5629111586545433e-07,3.1360327492347045e-08,-4.5290347979194564e-07,-5.778342681650528e-07,-7.997199857119278e-09,-7.088137743260337e-08,7.000094451407722e-07,6.211308678510496e-07
2,4901781.0,2015-05-11 00:00:00,57.46785541293389,-51.93098374625475,-9.398884657285021e-08,1.2293509935691505e-08,-3.8073107766969706e-07,-4.624264143068558e-07,-2.9006392153132987e-09,-2.5708295233449052e-08,4.616910614845953e-07,4.33082127035833e-07
3,4901781.0,2015-05-11 06:00:00,57.482642894200744,-51.939451698710236,-1.6766313185843283e-07,2.682645668820763e-08,-4.945628826090079e-07,-6.353995577792331e-07,-6.784980188998374e-09,-6.01330888808578e-08,7.34088010712445e-07,6.671699416425888e-07
4,4901781.0,2015-05-11 12:00:00,57.49743037546759,-51.947919651165726,-2.252284038820604e-07,4.082365009323898e-08,-5.63929704400001e-07,-7.483344581888224e-07,-1.046664175727319e-08,-9.275934052282258e-08,9.332348284108395e-07,8.300088461307437e-07
5,4901781.0,2015-05-11 18:00:00,57.51221785673444,-51.95638760362121,-4.3426307657963064e-07,1.165155462901582e-07,-7.486910794960608e-07,-1.0664386097855333e-06,-2.5416112280812826e-08,-2.2523961452526226e-07,1.507788212020535e-06,1.25713248521446e-06
6,4901781.0,2015-05-12 00:00:00,57.52700533800129,-51.96485555607669,-4.1762226185634115e-07,1.1144379987781807e-07,-7.342978888652087e-07,-1.0404763508437316e-06,-2.4678930157190352e-08,-2.18699276016166e-07,1.4698475464636154e-06,1.226469340290259e-06
7,4901781.0,2015-05-12 06:00:00,57.54179281926814,-51.973323508532175,-4.3199644736788857e-07,9.919126722884487e-08,-7.658994834126643e-07,-1.098704663551708e-06,-2.2622981564304494e-08,-2.0047315185405915e-07,1.5088352420145715e-06,1.2857391085962079e-06
8,4901781.0,2015-05-12 12:00:00,57.55658030053498,-51.98179146098766,-3.6599117173597435e-07,7.080616176532649e-08,-7.239051163398104e-07,-1.0190901263104584e-06,-1.762623362741412e-08,-1.5618929276927352e-07,1.3609987428769606e-06,1.1871832164802731e-06
9,4901781.0,2015-05-12 18:00:00,57.57136778180183,-51.99025941344314,-2.305590156342179e-07,3.1576301788016335e-08,-6.120989739813737e-07,-8.110816878275752e-07,-8.075018713795866e-09,-7.155181127530571e-08,9.477254379938015e-07,8.680986080047e-07
10,4901781.0,2015-05-13 00:00:00,57.58615526306868,-51.998727365898624,-1.1144458896822895e-07,9.92580855196461e-09,-4.6874552545846037e-07,-5.702643058747248e-07,-2.275748083445451e-09,-2.0164461920103908e-08,5.377628204912179e-07,5.153226104876686e-07
11,4901781.0,2015-05-13 06:00:00,57.60094274433553,-52.00719531835411,-8.219944558989779e-08,5.743536854134258e-09,-4.310140554217198e-07,-5.074699641574833e-07,-1.1695153788583191e-09,-1.036224234925513e-08,4.291340492150085e-07,4.176022914868951e-07
12,4901781.0,2015-05-13 12:00:00,57.61573022560238,-52.0156632708096,-2.4406593747683802e-08,9.073368568292952e-10,-2.820000907909638e-07,-3.0549934768181826e-07,-6.487975072021093e-11,-5.748338522132065e-10,1.7407251430029532e-07,1.734328006973619e-07
13,4901781.0,2015-05-13 18:00:00,57.63051770686923,-52.02413122326508,-2.5312176675751598e-08,8.800763101147227e-10,-2.953451177537517e-07,-3.1977721811938865e-07,-6.080189226461276e-11,-5.386859062790135e-10,1.8087451285386e-07,1.8027502505531636e-07
14,4901781.0,2015-05-14 00:00:00,57.64530518813608,-52.03259917572056,-3.240175079628833e-08,1.1814791836866516e-09,-3.314284459186571e-07,-3.626487175312588e-07,-1.0827460727766922e-10,-9.592470848561472e-10,2.1906468316205532e-07,2.1799716146992148e-07
15,4901781.0,2015-05-14 06:00:00,57.66009266940293,-52.041067128176046,-7.299571388639784e-08,3.530289318676069e-09,-4.6180291714918486e-07,-5.312683417169066e-07,-6.115753181593938e-10,-5.418002149250262e-09,4.0531679531227797e-07,3.992872178448683e-07
