,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16,Oxy_Sat,Oxy_Dev
0,4900880.0,2006-06-09 12:00:00,61.25721156136801,-50.529998691651244,-2.1854754552906348e-09,6.756109709104379e-11,-8.38958760926411e-08,-8.60137904508407e-08,-0.0,-0.0,2.635406982705078e-08,2.635406982705078e-08,104.77,16.36126470312894
1,4900880.0,2006-06-09 18:00:00,61.27425243971673,-50.54255513333122,-2.8694215002663665e-08,2.92918939091147e-09,-2.2011572501785674e-07,-2.4588075062960896e-07,-4.945501121891453e-10,-4.238201310031407e-09,1.8361230201935828e-07,1.7887955059713772e-07,104.73,16.195243796953605
2,4900880.0,2006-06-10 00:00:00,61.29129331806545,-50.55511157501119,-5.929269272001229e-08,8.839392135542976e-09,-2.930714553220062e-07,-3.435247559064755e-07,-2.070179924661872e-09,-1.776342831913174e-08,3.2548394805837127e-07,3.0565033981457766e-07,104.7,16.0245118521741
3,4900880.0,2006-06-10 06:00:00,61.308334196414165,-50.567668016691165,-3.242871647547247e-08,3.4267499479073426e-09,-2.3230124273952383e-07,-2.6130320926708895e-07,-6.149184482947623e-10,-5.28301225286422e-09,2.0184976695540226e-07,1.9595183625424329e-07,104.66,15.849097884876642
4,4900880.0,2006-06-10 12:00:00,61.32537507476288,-50.580224458371134,-2.004026262119134e-08,1.6568999072556965e-09,-1.9316748162968193e-07,-2.1155084434361758e-07,-2.0437643772952282e-10,-1.7580786786886889e-09,1.3905606178512726e-07,1.3709360666870903e-07,104.62,15.669030703365934
5,4900880.0,2006-06-10 18:00:00,61.3424159531116,-50.59278090005111,-4.2427915960329254e-10,6.481930026519802e-12,-4.5940452476411516e-08,-4.635824970598829e-08,-0.0,-0.0,7.866109117474537e-09,7.866109117474537e-09,104.58,15.484338909905716
6,4900880.0,2006-06-11 00:00:00,61.359456831460314,-50.60533734173108,-1.4521009139317097e-08,1.0238155464680144e-09,-1.7082012830234198e-07,-1.8431732189519108e-07,-8.571053043782003e-11,-7.391326955166676e-10,1.0856881981756336e-07,1.0774397659160887e-07,104.53,15.295050902439584
7,4900880.0,2006-06-11 06:00:00,61.37649770980903,-50.617893783411056,-3.68732667603122e-08,3.828741525581833e-09,-2.4936320277753053e-07,-2.824077280122609e-07,-7.100660114915499e-10,-6.130901333441201e-09,2.2306858804168396e-07,2.1622762069675122e-07,104.49,15.101194876294016
8,4900880.0,2006-06-11 12:00:00,61.393538588157746,-50.630450225091025,-2.3170315133335016e-08,1.886956892988547e-09,-2.091727663074014e-07,-2.3045612454774787e-07,-2.5042267731901364e-10,-2.1648840018163407e-09,1.5578966602524828e-07,1.5337435934611292e-07,104.44,14.902798825871855
9,4900880.0,2006-06-11 18:00:00,61.41057946650646,-50.643006666771,-4.782451349440969e-10,7.1455442773135845e-12,-4.929088821327765e-08,-4.976198780394443e-08,-0.0,-0.0,8.658589629916912e-09,8.658589629916912e-09,104.39,14.699890546322592
10,4900880.0,2006-06-12 00:00:00,61.427620344855185,-50.65556310845097,-1.3690075304097045e-07,3.130468164060169e-08,-4.171705258715086e-07,-5.227665972718774e-07,-8.226709430061867e-09,-7.129382436922643e-08,6.433457368578782e-07,5.638252030585899e-07,104.34,14.492497635201289
11,4900880.0,2006-06-12 06:00:00,61.4446612232039,-50.668119550130946,-1.9525452080441876e-07,5.7725093887915895e-08,-4.858476146005206e-07,-6.233770415170235e-07,-1.5234131414463294e-08,-1.3218216544875544e-07,8.780450328541571e-07,7.306287359909383e-07,104.29,14.280647494113396
12,4900880.0,2006-06-12 12:00:00,61.46170210155262,-50.680675991810915,-2.715238305399475e-07,1.0196211042036292e-07,-5.666244933662152e-07,-7.361862134857999e-07,-2.3661762535497072e-08,-2.055557774782877e-07,1.118896237492392e-06,8.896786974786071e-07,104.24,14.064367330341554
13,4900880.0,2006-06-12 18:00:00,61.478742979901334,-50.69323243349089,-4.415620356222555e-07,2.284498610674221e-07,-7.275568404171141e-07,-9.406690149719476e-07,-4.1967391933598586e-08,-3.6502283479853134e-07,1.6013675659707879e-06,1.194377339238658e-06,104.18,13.84368415845654
14,4900880.0,2006-06-13 00:00:00,61.49578385825005,-50.70578887517086,-4.740708972825746e-07,2.0199796081681618e-07,-7.57134245590446e-07,-1.0292071820562045e-06,-3.829540764910118e-08,-3.3348648271630564e-07,1.6397310489235835e-06,1.2679491585581767e-06,104.13,13.618624801916837
15,4900880.0,2006-06-13 06:00:00,61.512824736598766,-50.71834531685084,-9.616959814394288e-07,5.506732927671267e-07,-1.1017315478340996e-06,-1.5127542365064018e-06,-7.552438675867038e-08,-6.58476476736926e-07,2.7166487452426983e-06,1.982647881747102e-06,104.07,13.389215894652125
16,4900880.0,2006-06-13 12:00:00,61.52986561494748,-50.730901758530806,-9.084363087495077e-07,4.184269267836926e-07,-1.0668736329997172e-06,-1.5568830149655323e-06,-6.252289323764705e-08,-5.457725398499242e-07,2.5406960482196887e-06,1.9324006151321174e-06,104.01,13.15548388262954
17,4900880.0,2006-06-13 18:00:00,61.5469064932962,-50.74345820021078,-1.1113012842394893e-07,1.2988886773344848e-08,-4.328783472828938e-07,-5.310195889334978e-07,-3.1018693899369032e-09,-2.7109013848929496e-08,5.318451445308817e-07,5.016342612920153e-07,103.95,12.917455025409993
18,4900880.0,2006-06-14 00:00:00,61.563947371644915,-50.75601464189075,-1.432213355194772e-07,2.2015115900835884e-08,-4.610999079996847e-07,-5.82306127618326e-07,-5.548533545366951e-09,-4.854942300771414e-08,6.495564509989639e-07,5.954584944458828e-07,103.88,12.675155397687035
19,4900880.0,2006-06-14 06:00:00,61.58098824999364,-50.76857108357073,-2.6873171093039444e-07,5.991712088961129e-08,-5.972820657051803e-07,-8.060966557459634e-07,-1.5423785897544547e-08,-1.3511716970113008e-07,1.0906592777126797e-06,9.40118322114005e-07,103.82,12.428610890810603
20,4900880.0,2006-06-14 12:00:00,61.598029128342354,-50.781127525250696,-2.947051132377439e-07,7.003445668138242e-08,-6.202292239140071e-07,-8.448998804703686e-07,-1.7483236045474536e-08,-1.533391747740069e-07,1.1634113884456827e-06,9.925889776262013e-07,103.75,12.177847214301494
21,4900880.0,2006-06-14 18:00:00,61.61507000669107,-50.793683966930665,-3.27350487515222e-07,8.359269857041187e-08,-6.48206434861314e-07,-8.91964223806124e-07,-1.9916481064615662e-08,-1.7488546494387283e-07,1.246336195009431e-06,1.0515342490009426e-06,103.68,11.922889897347375
22,4900880.0,2006-06-15 00:00:00,61.632110885039786,-50.80624040861064,-1.0300297918628576e-07,1.3901609994716514e-08,-3.9750278292733817e-07,-4.866041521189074e-07,-3.3363843742913454e-09,-2.933087757671006e-08,4.972649770810349e-07,4.6459771513003347e-07,103.61,11.663764290287133
23,4900880.0,2006-06-15 06:00:00,61.6491517633885,-50.81879685029061,-1.98228010791777e-08,1.2366231266197216e-09,-2.0744881827757534e-07,-2.260349962301333e-07,-1.1794576589002348e-10,-1.0380954102630387e-09,1.3866315790873828e-07,1.3750711673258523e-07,103.54,11.400495566080735
24,4900880.0,2006-06-15 12:00:00,61.66619264173722,-50.831353291970586,-3.654886078811857e-08,3.712212314293514e-09,-2.457596862844968e-07,-2.785963347583218e-07,-6.603138865938198e-10,-5.818477445632089e-09,2.1841172469343503e-07,2.1193293336120912e-07,103.47,11.1331087217672
25,4900880.0,2006-06-15 18:00:00,61.683233520085935,-50.843909733650555,-6.084553284231856e-09,2.99902665752673e-10,-1.1892448602719046e-07,-1.2470913664566966e-07,-2.5712093635430375e-12,-2.2682893260566626e-11,5.508122923538984e-08,5.5055975132765726e-08,103.39,10.86162857990729
26,4900880.0,2006-06-16 00:00:00,61.70027439843465,-50.85646617533053,-3.305631329588041e-09,1.3436762892976393e-10,-9.179928125356117e-08,-9.497054495421945e-08,-0.0,-0.0,3.4536330622998925e-08,3.4536330622998925e-08,103.32,10.586079790014196
27,4900880.0,2006-06-16 06:00:00,61.71731527678337,-50.8690226170105,-9.834059467229726e-10,2.411576959690502e-11,-5.8103366290252256e-08,-5.906265646737832e-08,-0.0,-0.0,1.4009198953632504e-08,1.4009198953632504e-08,103.24,10.30648682997088
28,4900880.0,2006-06-16 12:00:00,61.73435615513209,-50.88157905869048,-1.5260722320818835e-08,1.2921501650252968e-09,-1.6154782187443253e-07,-1.7551639403022605e-07,-1.2800605577171876e-10,-1.1331470371425577e-09,1.0926506747628866e-07,1.0800391438337439e-07,103.16,10.02287400743478
29,4900880.0,2006-06-16 18:00:00,61.751397033480806,-50.894135500370446,-5.089290013206289e-08,7.642562547044136e-09,-2.627245504653281e-07,-3.0597488805034687e-07,-1.660816106734045e-09,-1.4718776995765485e-08,2.8164330471770017e-07,2.652637116152006e-07,103.07,9.73526546122963
30,4900880.0,2006-06-17 00:00:00,61.76843791182952,-50.90669194205042,-2.1836687657218504e-07,7.156816065610309e-08,-5.020095241122951e-07,-6.48808240028377e-07,-1.7613563605255417e-08,-1.562751523142219e-07,9.453087419679007e-07,7.714200260484233e-07,102.99,9.443685162723455
31,4900880.0,2006-06-17 06:00:00,61.78547879017824,-50.91924838373039,-7.061351091083452e-07,4.982850768157118e-07,-9.347681816215098e-07,-1.1426182139141431e-06,-6.898932662376228e-08,-6.127950184710988e-07,2.2790247664312227e-06,1.5972404213363618e-06,102.9,9.148156917196957
32,4900880.0,2006-06-17 12:00:00,61.802519668526955,-50.93180482541037,-4.935179860157731e-07,2.052961703118744e-07,-7.627803246684024e-07,-1.051002140372301e-06,-3.740362961784468e-08,-3.326103760675252e-07,1.658002946703342e-06,1.2879889410179721e-06,102.82,8.848704365195601
33,4900880.0,2006-06-17 18:00:00,61.81956054687567,-50.944361267090336,-7.950862486479061e-08,1.391956180346958e-08,-3.2125700861904043e-07,-3.8684607168036147e-07,-3.3029426277977016e-09,-2.940423661077055e-08,4.0240196838050265e-07,3.696947891419344e-07,102.73,8.545350983873789
34,4900880.0,2006-06-18 00:00:00,61.83660142522439,-50.95691770877031,-5.986068377829662e-08,1.4073264930558331e-08,-2.6042185786666914e-07,-3.062092767144074e-07,-3.3646139896603454e-09,-2.998672731458723e-08,3.2715857332459206e-07,2.938072320203445e-07,102.64,8.238120088320954
35,4900880.0,2006-06-18 06:00:00,61.8536423035731,-50.96947415045028,-2.7307136120965283e-08,5.033666598025014e-09,-1.7826281891041734e-07,-2.0053628843335762e-07,-9.831253994504757e-10,-8.771741039959243e-09,1.7159443877018561e-07,1.618395723307759e-07,102.54,7.92703483288409
36,4900880.0,2006-06-18 12:00:00,61.87068318192182,-50.98203059213026,-8.378065405456012e-09,9.293465603166649e-10,-1.067040867766837e-07,-1.1415280562182304e-07,-6.788476756941607e-11,-6.063598019303837e-10,6.631043621228857e-08,6.563619164278878e-08,102.45,7.612118212468204
37,4900880.0,2006-06-18 18:00:00,61.88772406027054,-50.99458703381023,-1.1702941865121845e-08,1.487477184516912e-09,-1.2299231337944844e-07,-1.3320777806005336e-07,-1.6264066807383964e-10,-1.4543419198258217e-09,8.63449720971011e-08,8.472798950920144e-08,102.35,7.293393063835708
