,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16,Oxy_Sat,Oxy_Dev
0,4902386.0,2016-05-15 00:00:00,57.580713961737835,-51.44528354613295,-6.403364344476107e-08,2.2554939040815613e-07,-3.9165964038478755e-07,-2.301438934213925e-07,-4.082330333840185e-08,-3.6207958457661974e-07,8.618049085527955e-07,4.5890202063777386e-07,102.11,6.703804912517626
1,4902386.0,2016-05-15 06:00:00,57.57526081396944,-51.42395887303142,-5.2976347479018035e-08,2.28773032531949e-08,-2.304470092403521e-07,-2.6054605346617524e-07,-5.769312822118975e-09,-5.118047718161832e-08,3.2824648883446987e-07,2.712966988307326e-07,102.26,7.163804145015092
2,4902386.0,2016-05-15 12:00:00,57.56980766620105,-51.402634199929885,-5.657531401961937e-08,2.312318488638462e-08,-2.3929081843015935e-07,-2.727429475633941e-07,-5.83700924914269e-09,-5.179107239855303e-08,3.4179359044435713e-07,2.8416550879666143e-07,102.4,7.62366231329338
3,4902386.0,2016-05-15 18:00:00,57.56435451843266,-51.38130952682835,-6.171747499404004e-08,2.110694231617426e-08,-2.536150991002065e-07,-2.942256317780723e-07,-5.2893391509423175e-09,-4.6940763265796177e-08,3.537970411785375e-07,3.01566938761799e-07,102.55,8.08337957910635
4,4902386.0,2016-05-16 00:00:00,57.55890137066427,-51.359984853726814,-6.215468569287617e-08,1.9974295297174696e-08,-2.5610442416758677e-07,-2.982848145632883e-07,-4.987384875342631e-09,-4.426961621613294e-08,3.522058568317523e-07,3.0294885574027675e-07,102.69,8.54295610399555
5,4902386.0,2016-05-16 06:00:00,57.55344822289588,-51.33866018062528,-5.252575311400748e-08,1.325486319999078e-08,-2.4106149926700517e-07,-2.8033238918102185e-07,-3.1736510564984504e-09,-2.817579111559914e-08,2.981085934226787e-07,2.667591512505811e-07,102.84,9.00239204928829
6,4902386.0,2016-05-16 12:00:00,57.54799507512749,-51.31733550752375,-6.65540647240118e-08,1.933032707717282e-08,-2.6879911325297156e-07,-3.160228508998105e-07,-4.817349777670408e-09,-4.2776882195575946e-08,3.6654925540908177e-07,3.189550234358354e-07,102.99,9.461687576097631
7,4902386.0,2016-05-16 18:00:00,57.542541927359096,-51.29601083442222,-1.0972675656442589e-07,5.128696199273028e-08,-3.410714601214131e-07,-3.9951125469310864e-07,-1.3250387940344696e-08,-1.1768293032672053e-07,5.988807517296935e-07,4.6794743346262823e-07,103.13,9.9208428453245
8,4902386.0,2016-05-17 00:00:00,57.537088779590704,-51.27468616132068,-1.262147172191376e-07,6.963904617126233e-08,-3.6852014684482867e-07,-4.2509581789270394e-07,-1.7492865948996735e-08,-1.5539237786693138e-07,6.913611248980863e-07,5.184758810821582e-07,103.28,10.379858017658194
9,4902386.0,2016-05-17 06:00:00,57.53163563182232,-51.25336148821915,-2.4074273483096986e-07,1.655779765678391e-07,-5.271713916045766e-07,-6.023361498677074e-07,-3.282067725667811e-08,-2.9160843214902494e-07,1.113473860880437e-06,7.89044751474734e-07,103.43,10.838733253573707
