,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4901142.0,2010-05-19 00:00:00,58.29624892712403,-50.839684795425065,-3.3776119934251936e-08,4.293359771038538e-09,-2.193220665784047e-07,-2.488048267416181e-07,-8.03143146798474e-10,-7.169409768573272e-09,2.026120671613338e-07,1.9463951424596205e-07
1,4901142.0,2010-05-19 06:00:00,58.308709446189546,-50.82714910352452,-5.832066473766503e-08,9.683200861200575e-09,-2.7569633096941914e-07,-3.243337948458836e-07,-2.2098637380353267e-09,-1.9729846908432803e-08,3.144325494100598e-07,2.924928387635917e-07
2,4901142.0,2010-05-19 12:00:00,58.32116996525506,-50.81461341162397,-1.6415232617419434e-08,1.4597909538820695e-09,-1.6480868615271838e-07,-1.7976412781625575e-07,-1.5906810354331908e-10,-1.4203947633855866e-09,1.1513277351279733e-07,1.1355331064586843e-07
3,4901142.0,2010-05-19 18:00:00,58.33363048432057,-50.802077719723414,-7.898860820932896e-09,4.875238368294934e-10,-1.253041289611066e-07,-1.3271546594521e-07,-1.4561265500642512e-11,-1.3004473799313606e-10,6.588660721492191e-08,6.574200121142813e-08
4,4901142.0,2010-05-20 00:00:00,58.346091003386086,-50.78954202782287,-6.411655538324375e-08,1.091404102151452e-08,-2.8855523768509154e-07,-3.417577520468208e-07,-2.541241185344099e-09,-2.269902576388294e-08,3.394722880508282e-07,3.142320211016012e-07
5,4901142.0,2010-05-20 06:00:00,58.358551522451606,-50.777006335922316,-1.508829037392562e-07,3.631457629457617e-08,-4.2836560824530145e-07,-5.429339356899815e-07,-9.296944131245743e-09,-8.305565120872558e-08,6.881025534818432e-07,5.957499581418719e-07
6,4901142.0,2010-05-20 12:00:00,58.37101204151712,-50.76447064402176,-2.609734617247815e-07,7.686050380612894e-08,-5.593459886748031e-07,-7.434589465934557e-07,-1.8633482040029183e-08,-1.664909320827752e-07,1.0643765426448504e-06,8.79252128522046e-07
7,4901142.0,2010-05-20 18:00:00,58.38347256058263,-50.75193495212122,-1.9036473885686284e-07,4.180645481727436e-08,-4.928329920633369e-07,-6.413912761029253e-07,-1.0682938787407334e-08,-9.546735040559112e-08,8.210964677429679e-07,7.149461785499694e-07
8,4901142.0,2010-05-21 00:00:00,58.395933079648145,-50.739399260220665,-1.8837712924585172e-07,4.1366594608408915e-08,-4.900963666013888e-07,-6.371069012388316e-07,-1.0575053725087416e-08,-9.451793847209657e-08,8.143126520882736e-07,7.092196598910896e-07
9,4901142.0,2010-05-21 06:00:00,58.40839359871366,-50.72686356832011,-2.0438474779716102e-07,4.80536570565388e-08,-5.0623195663799e-07,-6.625630473786122e-07,-1.2302708352129087e-08,-1.099764966121574e-07,8.744275513101264e-07,7.5214834634584e-07
10,4901142.0,2010-05-21 12:00:00,58.42085411777917,-50.71432787641957,-5.888368330050343e-07,2.4677086353236014e-07,-8.421170580215758e-07,-1.18418302749425e-06,-4.2969574611632866e-08,-3.8417373069978126e-07,1.876147186804408e-06,1.449003881492994e-06
11,4901142.0,2010-05-21 18:00:00,58.43331463684469,-50.701792184519014,-6.667057598878999e-07,2.617553956155114e-07,-9.025002795602111e-07,-1.3074506438325995e-06,-4.4650218335512863e-08,-3.992616721819884e-07,2.0262867586893332e-06,1.5823748681718318e-06
12,4901142.0,2010-05-22 00:00:00,58.445775155910205,-50.68925649261846,-8.380821976303146e-07,3.3287277214177546e-07,-1.0191891523989868e-06,-1.5243985778875258e-06,-5.253179916560963e-08,-4.698115596943109e-07,2.360958610644408e-06,1.8386152517844876e-06
13,4901142.0,2010-05-22 06:00:00,58.45823567497572,-50.676720800717916,-1.5222458752542577e-07,1.938465963248775e-08,-4.938885243211299e-07,-6.267284522140679e-07,-4.74829877470662e-09,-4.2472401206227724e-08,6.743455760956118e-07,6.271248761146775e-07
14,4901142.0,2010-05-22 12:00:00,58.47069619404123,-50.664185108817364,-3.794662754399654e-07,1.0793070537482867e-07,-6.869575133622516e-07,-9.584930834273885e-07,-2.38709036844276e-08,-2.1355264553647625e-07,1.3700439416872716e-06,1.132620392466368e-06
15,4901142.0,2010-05-22 18:00:00,58.483156713106744,-50.65164941691682,-2.0212781974216926e-07,4.253324644963389e-08,-5.130996700819291e-07,-6.726942433744645e-07,-1.0885426126153513e-08,-9.739772525324449e-08,8.587722320080319e-07,7.504890806286339e-07
16,4901142.0,2010-05-23 00:00:00,58.49561723217226,-50.639113725016266,-1.6554518821653604e-07,3.261945348511449e-08,-4.666520042012942e-07,-5.995777389327157e-07,-8.319584813721395e-09,-7.445129930195372e-08,7.291497597969536e-07,6.463788756812785e-07
17,4901142.0,2010-05-23 06:00:00,58.50807775123777,-50.62657803311571,-1.001115395114833e-07,1.4575697597380958e-08,-3.806216991959026e-07,-4.66157541110005e-07,-3.513843730052736e-09,-3.1449973578031405e-08,4.827124039187549e-07,4.477485866106707e-07
18,4901142.0,2010-05-23 12:00:00,58.52053827030329,-50.61404234121517,-3.506763547017494e-08,3.10243350960604e-09,-2.4871201427938694e-07,-2.806772162399558e-07,-5.130623055455252e-10,-4.592774565104348e-09,2.1126263840147216e-07,2.061568015308223e-07
19,4901142.0,2010-05-23 18:00:00,58.532998789368804,-50.601506649314615,-5.041477856956669e-09,1.8190470559525895e-10,-1.1985683552982564e-07,-1.2471640868118703e-07,-6.401782244327266e-14,-5.731562885239929e-13,4.8826966144826607e-08,4.882632897071564e-08
20,4901142.0,2010-05-24 00:00:00,58.54545930843432,-50.58897095741406,-4.549073636823632e-09,1.541519748692924e-10,-1.1617752938899061e-07,-1.2057245105094495e-07,-1.1838896589005713e-15,-1.0601089476326623e-14,4.53418046322472e-08,4.534179284726807e-08
21,4901142.0,2010-05-24 06:00:00,58.55791982749983,-50.57643526551352,-3.898655544798888e-08,3.306337388522751e-09,-2.66900980038076e-07,-3.0258119809754215e-07,-5.60367708081622e-10,-5.0185637757205674e-09,2.3049098975204234e-07,2.2491205826824016e-07
22,4901142.0,2010-05-24 12:00:00,58.570380346565344,-50.563899573612964,-8.440284056971801e-08,9.929407703625055e-09,-3.671715628963288e-07,-4.4164499576242176e-07,-2.265105996779678e-09,-2.0289059504130293e-08,4.216018995851619e-07,3.990477340842519e-07
23,4901142.0,2010-05-24 18:00:00,58.58284086563086,-50.55136388171241,-1.8141116510561746e-07,3.19584510285861e-08,-5.017010701611437e-07,-6.511537842381751e-07,-8.135711629073698e-09,-7.288462719517752e-08,7.798348480485252e-07,6.988145092242739e-07
24,4901142.0,2010-05-25 00:00:00,58.59530138469637,-50.538828189811866,-3.5516520663087824e-07,1.0816818072390074e-07,-6.585655614861661e-07,-9.055625873931435e-07,-2.4058676525525634e-08,-2.1556541887942433e-07,1.3139707521816035e-06,1.0743466567766535e-06
25,4901142.0,2010-05-25 06:00:00,58.60776190376189,-50.526292497911314,-1.2790328771795956e-07,2.074833455094419e-08,-4.2335182518965014e-07,-5.305067783566655e-07,-5.183154644300658e-09,-4.644815420289381e-08,5.883937465300096e-07,5.367624376828152e-07
26,4901142.0,2010-05-25 12:00:00,58.6202224228274,-50.51375680601076,-9.870113318449219e-08,1.3809525560161278e-08,-3.81506502158094e-07,-4.663981097824249e-07,-3.3170836812636753e-09,-2.9730185632198245e-08,4.771661485367719e-07,4.441188792233099e-07
27,4901142.0,2010-05-25 18:00:00,58.63268294189292,-50.501221114110216,-3.4224466931972285e-08,2.6274441518978396e-09,-2.5685707250438245e-07,-2.884540952844569e-07,-4.034527536903868e-10,-3.616602196622188e-09,2.090108765692411e-07,2.049908216189285e-07
28,4901142.0,2010-05-26 00:00:00,58.64514346095843,-50.48868542220966,-1.21071521123655e-07,1.605837310884753e-08,-4.3180217666800115e-07,-5.368153246828086e-07,-3.908714897134132e-09,-3.504361347394019e-08,5.616141042965084e-07,5.22661775925434e-07
29,4901142.0,2010-05-26 06:00:00,58.65760398002394,-50.47614973030911,-2.9257473086742795e-07,6.046422955088806e-08,-6.284037562957052e-07,-8.605142576122452e-07,-1.5443887289444184e-08,-1.3848358754354816e-07,1.1523051279552668e-06,9.983776531222745e-07
