,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,3901668.0,2018-06-13 00:00:00,58.614722589424886,-51.91345947366501,-8.342897951424928e-08,3.1012465640932745e-09,-5.46981493176174e-07,-6.2730922612633e-07,-5.152778812546686e-10,-4.579208149870779e-09,4.6429439157162196e-07,4.591999055404965e-07
1,3901668.0,2018-06-13 06:00:00,58.60689921724625,-51.90574641594094,-8.276725169535669e-08,3.0924288469418792e-09,-5.434339183088391e-07,-6.231087411572538e-07,-5.126851583518317e-10,-4.556729141887269e-09,4.609473126072477e-07,4.558778983070086e-07
2,3901668.0,2018-06-13 12:00:00,58.599075845067624,-51.89803335821687,-2.3974178443386633e-07,1.4533983577053665e-08,-8.063916445206397e-07,-1.0315994453774523e-06,-3.518922124451942e-09,-3.127992373750876e-08,1.0213390466510838e-06,9.865402007891231e-07
3,3901668.0,2018-06-13 18:00:00,58.59125247288899,-51.8903203004928,-3.0059735903834834e-07,2.005225743061251e-08,-8.809845613726916e-07,-1.1615296629804273e-06,-4.996592976461155e-09,-4.44205099609207e-08,1.2128536162598762e-06,1.1634365133224944e-06
4,3901668.0,2018-06-14 00:00:00,58.58342910071036,-51.882607242768735,-3.382738646110525e-07,2.350250924780048e-08,-9.256962199210009e-07,-1.2404675752842529e-06,-5.906253380800098e-09,-5.251400665790985e-08,1.3279313454557079e-06,1.2695110854169979e-06
5,3901668.0,2018-06-14 06:00:00,58.57560572853173,-51.87489418504467,-3.013610112937187e-07,1.9136252141484556e-08,-8.969798122073608e-07,-1.179204571359595e-06,-4.719479633329381e-09,-4.1967266873592605e-08,1.2200292284081122e-06,1.1733424819011902e-06
6,3901668.0,2018-06-14 12:00:00,58.5677823563531,-51.8671811273206,-1.261517145481665e-07,5.3351883164522096e-09,-6.501566354801306e-07,-7.70973161711845e-07,-1.0551832460076867e-09,-9.384214446326203e-09,6.351892726745988e-07,6.247498749822648e-07
7,3901668.0,2018-06-14 18:00:00,58.559958984174465,-51.85946806959653,-1.0038712674320698e-07,3.892684177137525e-09,-5.939223519163989e-07,-6.904167944824683e-07,-6.963191166339527e-10,-6.193438048453331e-09,5.347520440987803e-07,5.27862286933693e-07
8,3901668.0,2018-06-15 00:00:00,58.55213561199584,-51.85175501187246,-7.183265514816268e-08,2.4461374638753257e-09,-5.212077045028758e-07,-5.905942221871632e-07,-3.593996003568519e-10,-3.1970872490073912e-09,4.160697362046734e-07,4.125132493553091e-07
9,3901668.0,2018-06-15 06:00:00,58.5443122398172,-51.844041954148395,-8.608588479794182e-09,1.2115359982555707e-10,-2.377620949954691e-07,-2.4624952987543773e-07,-0.0,-0.0,8.713280075309752e-08,8.713280075309752e-08
10,3901668.0,2018-06-15 12:00:00,58.536488867638575,-51.83632889642433,-1.0276754366301007e-07,4.2415092435518905e-09,-5.868372886575415e-07,-6.853633230769997e-07,-7.805170535232453e-10,-6.944901052038214e-09,5.402671366239526e-07,5.325417185183911e-07
11,3901668.0,2018-06-15 18:00:00,58.52866549545994,-51.82861583870026,-1.9930696966796623e-07,1.1241513171031266e-08,-7.472147491513319e-07,-9.35280205648267e-07,-2.595099025004439e-09,-2.3093563297290215e-08,8.855329531996775e-07,8.598442908773828e-07
12,3901668.0,2018-06-16 00:00:00,58.52084212328131,-51.82090278097619,-3.282547179908575e-07,2.422190773709532e-08,-8.904933119196493e-07,-1.1945261221734114e-06,-6.048201399451789e-09,-5.382903368644499e-08,1.2875463024634886e-06,1.2276690673775919e-06
13,3901668.0,2018-06-16 06:00:00,58.51301875110268,-51.81318972325212,-8.466084777853092e-07,1.0522641218583628e-07,-1.264084242110748e-06,-2.005466307710221e-06,-2.3391809273836124e-08,-2.0821281453989464e-07,2.511342320970274e-06,2.279737697156543e-06
14,3901668.0,2018-06-16 12:00:00,58.50519537892405,-51.805476665528055,-7.37649655091742e-07,9.444422844345183e-08,-1.1641087585449018e-06,-1.8073141851931918e-06,-2.1687908319462148e-08,-1.9306990681928494e-07,2.2786534214233634e-06,2.0638956062846164e-06
15,3901668.0,2018-06-16 18:00:00,58.497372006745415,-51.79776360780399,-2.6074536723085775e-07,2.2129102607543257e-08,-7.505228157717667e-07,-9.891390803950812e-07,-5.545398348060448e-09,-4.9372250198468535e-08,1.0600867825992967e-06,1.0051691340527678e-06
16,3901668.0,2018-06-17 00:00:00,58.48954863456679,-51.79005055007992,-1.5028425018482045e-07,1.0963480040658565e-08,-5.856640670993062e-07,-7.249848372434681e-07,-2.557087173208504e-09,-2.276926107502083e-08,6.896213141127976e-07,6.642949658645683e-07
17,3901668.0,2018-06-17 06:00:00,58.48172526238815,-51.78233749235585,-1.8673511857117638e-07,1.594727252149168e-08,-6.2517985683619e-07,-7.959677028858747e-07,-3.905703149930086e-09,-3.4782103423301125e-08,8.112062280356915e-07,7.725184214624603e-07
18,3901668.0,2018-06-17 12:00:00,58.473901890209525,-51.77462443463178,-2.1768192975594952e-07,2.0585361384856416e-08,-6.575485137510411e-07,-8.546450821221342e-07,-5.15565142525876e-09,-4.5919097163437426e-08,9.115521927819589e-07,8.604774441932627e-07
19,3901668.0,2018-06-17 18:00:00,58.4660785180309,-51.766911376907714,-1.881115403976313e-07,1.6732473685935982e-08,-6.192400888024331e-07,-7.906191555141285e-07,-4.111653150330183e-09,-3.662515110480751e-08,8.135818924550898e-07,7.728450881999522e-07
20,3901668.0,2018-06-18 00:00:00,58.45825514585226,-51.75919831918365,-6.42992898686059e-08,3.4590576352780292e-09,-4.11384567864189e-07,-4.7222480009751686e-07,-5.983239503796622e-10,-5.33031012715291e-09,3.5928260217681473e-07,3.533539680992822e-07
21,3901668.0,2018-06-18 06:00:00,58.450431773673635,-51.751485261459585,-4.938832739531318e-08,2.378094279154792e-09,-3.714192440878817e-07,-4.184294772040401e-07,-3.477723821843732e-10,-3.09859127291809e-09,2.943736923566755e-07,2.9092732870157306e-07
22,3901668.0,2018-06-18 12:00:00,58.442608401495,-51.74377220373552,-1.0153897780067955e-08,2.4269373338715157e-10,-2.076168104915388e-07,-2.175280145382196e-07,-8.363373537388795e-13,-7.452530926692635e-12,9.11006108840907e-08,9.109232201581026e-08
23,3901668.0,2018-06-18 18:00:00,58.43478502931637,-51.73605914601145,-4.4327115496690794e-08,1.9701744744541537e-09,-3.6083391271743435e-07,-4.03190853739671e-07,-2.5882335497635354e-10,-2.306634699615387e-09,2.723817659559061e-07,2.698163079013144e-07
24,3901668.0,2018-06-19 00:00:00,58.42696165713774,-51.72834608828738,-1.2603669684295945e-07,9.009467482386626e-09,-5.350552033439817e-07,-6.520824327045545e-07,-2.0130513748154194e-09,-1.7942512590409818e-08,5.98836423695904e-07,5.788808597306788e-07
25,3901668.0,2018-06-19 06:00:00,58.41913828495911,-51.72063303056331,-1.3426838155361174e-07,9.640974127250916e-09,-5.52670728295564e-07,-6.772981357219249e-07,-2.1740305632931175e-09,-1.9379700688861832e-08,6.295096782998561e-07,6.079559470477012e-07
26,3901668.0,2018-06-19 12:00:00,58.411314912780476,-51.712919972839245,-2.540717578048034e-07,2.478888290240104e-08,-7.061289077874185e-07,-9.354117826898208e-07,-6.1902752888099755e-09,-5.5187964788253916e-08,1.027251785765413e-06,9.658735456883494e-07
