,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16
0,4900494.0,2004-06-04 18:00:00,59.943280037145286,-50.127250648318764,-9.785119551966301e-08,4.468009015855309e-09,-5.4855952533164e-07,-6.419427118354477e-07,-8.48453780351495e-10,-7.589131175037823e-09,5.121054128970588e-07,5.036678279416695e-07
1,4900494.0,2004-06-05 00:00:00,59.9336213732127,-50.09429586390239,-6.745617262448182e-08,2.70878976404732e-09,-4.7086082770677404e-07,-5.356082105672086e-07,-4.24053481445986e-10,-3.793230849388963e-09,3.8612178385057024e-07,3.819044995197353e-07
2,4900494.0,2004-06-05 06:00:00,59.92396270928012,-50.061341079486006,-1.874983367844058e-08,4.4975673986915245e-10,-2.888259152418527e-07,-3.0712599218042415e-07,-1.1489472328822263e-11,-1.0278115204847984e-10,1.4874737218791082e-07,1.486331015635335e-07
3,4900494.0,2004-06-05 12:00:00,59.91430404534754,-50.02838629506963,-1.9025373284031842e-08,4.771944442194381e-10,-2.8579644023723305e-07,-3.0434461907704544e-07,-1.372793183132736e-11,-1.2281269317688085e-10,1.4946313448991724e-07,1.4932659386490903e-07
4,4900494.0,2004-06-05 18:00:00,59.90464538141496,-49.99543151065325,-4.194745673682747e-08,1.529016181608408e-09,-3.7772987533345136e-07,-4.1814831588867044e-07,-1.7287796656679054e-10,-1.5466872907393246e-09,2.6710056525676596e-07,2.6538099999945984e-07
5,4900494.0,2004-06-06 00:00:00,59.894986717482375,-49.96247672623687,-1.4489542051831656e-08,3.4210864182753124e-10,-2.526557908855415e-07,-2.668032242955456e-07,-4.4893758372654434e-12,-4.0167384417242086e-11,1.2121774467517734e-07,1.2117308791492284e-07
6,4900494.0,2004-06-06 06:00:00,59.88532805354979,-49.9295219418205,-1.1569113372125553e-08,2.552168923576697e-10,-2.29934304411698e-07,-2.4124820089146586e-07,-1.1407314301679346e-12,-1.0206943217394286e-11,1.0225268099860518e-07,1.0224133332395762e-07
7,4900494.0,2004-06-06 12:00:00,59.875669389617215,-49.896567157404114,-1.1950537049105797e-08,2.733402387990114e-10,-2.3050731156367748e-07,-2.4218450837398427e-07,-1.6526531134058018e-12,-1.4788314802157766e-11,1.043460094278104e-07,1.0432956845989483e-07
8,4900494.0,2004-06-06 18:00:00,59.86601072568463,-49.86361237298774,-8.256921991148985e-09,1.652686704181513e-10,-1.993197634063077e-07,-2.0741141672703853e-07,-1.1895599684098414e-14,-1.0645057160752358e-13,7.920150241594151e-08,7.920138406977022e-08
9,4900494.0,2004-06-07 00:00:00,59.85635206175205,-49.830657588571356,-2.757907677134897e-08,9.460356022719783e-10,-3.079161478373102e-07,-3.345491890063872e-07,-7.113638653084875e-11,-6.366168375044381e-10,1.9227231812609198e-07,1.915645649020567e-07
10,4900494.0,2004-06-07 06:00:00,59.84669339781947,-49.79770280415498,-1.1435517026149792e-07,7.54935787847447e-09,-5.21308003486385e-07,-6.281138158694085e-07,-1.6491148381512807e-09,-1.4759167746905403e-08,5.575189278419935e-07,5.411106452569368e-07
11,4900494.0,2004-06-07 12:00:00,59.83703473388689,-49.7647480197386,-2.7637749552689505e-07,2.8706958174070803e-08,-7.255417462265227e-07,-9.732122835793469e-07,-7.34134877484556e-09,-6.570697332456393e-08,1.0967514099246392e-06,1.0237030878252296e-06
12,4900494.0,2004-06-07 18:00:00,59.827376069954305,-49.73179323532222,-3.0268244531611824e-07,3.3449410915473165e-08,-7.48163445726131e-07,-1.017396480126776e-06,-8.593377398413111e-09,-7.69173146009011e-08,1.1766470321722058e-06,1.0911363401728916e-06
13,4900494.0,2004-06-08 00:00:00,59.81771740602173,-49.698838450905846,-3.289261460626252e-07,3.87287099708315e-08,-7.683398163115015e-07,-1.0585372524032952e-06,-9.976000287570813e-09,-8.929790915178172e-08,1.2551418196454745e-06,1.155867910206122e-06
14,4900494.0,2004-06-08 06:00:00,59.808058742089145,-49.665883666489464,-3.173072074363198e-07,3.727932588364046e-08,-7.538212551025801e-07,-1.0338491366552595e-06,-9.588626494657033e-09,-8.583528134937502e-08,1.2193205933257858e-06,1.1238966854817537e-06
15,4900494.0,2004-06-08 12:00:00,59.79840007815656,-49.63292888207309,-3.1114994949254183e-07,3.7365997048207194e-08,-7.411706451069829e-07,-1.0149545975513176e-06,-9.609800787012317e-09,-8.602969837180719e-08,1.1995836326963374e-06,1.1039441335375178e-06
16,4900494.0,2004-06-08 18:00:00,59.788741414223985,-49.599974097656705,-1.6315116241282886e-07,1.4365229775615161e-08,-5.733983328454534e-07,-7.221842654826672e-07,-3.4710084758061267e-09,-3.1075223337824956e-08,7.244606867624909e-07,6.899144549488598e-07
17,4900494.0,2004-06-09 00:00:00,59.7790827502914,-49.56701931324033,-2.1050510798733136e-07,2.0970404827997564e-08,-6.332081890907043e-07,-8.227428922500381e-07,-5.2424408966146176e-09,-4.693714643161459e-08,8.824085560633109e-07,8.302289687350816e-07
18,4900494.0,2004-06-09 06:00:00,59.76942408635882,-49.534064528823954,-2.815896568366742e-07,3.159479477322374e-08,-7.151762035352469e-07,-9.651710655986973e-07,-8.048794964215779e-09,-7.206734893184604e-08,1.1082915186358928e-06,1.028175374739831e-06
19,4900494.0,2004-06-09 12:00:00,59.75976542242624,-49.50110974440757,-3.380007267060192e-07,4.051349749840975e-08,-7.743653638315663e-07,-1.0718525930391758e-06,-1.0351629070115308e-08,-9.269171388449765e-08,1.2798632584481344e-06,1.1768199154935212e-06
