,WMO,Date,Lat,Lon,Fp_L13,Fc_L13,Fd_L13,Ft_L13,Fp_N16,Fc_N16,Fd_N16,Ft_N16,Oxy_Sat,Oxy_Dev
0,6901755.0,2016-07-09 12:00:00,57.96875,-29.295598214285732,,,,,,,,,,
1,6901755.0,2016-07-09 18:00:00,57.97775,-29.306205357142872,,,,,,,,,,
2,6901755.0,2016-07-10 00:00:00,57.98675,-29.31681250000001,,,,,,,,,,
3,6901755.0,2016-07-10 06:00:00,57.99575,-29.327419642857148,,,,,,,,,,
4,6901755.0,2016-07-10 12:00:00,58.00475,-29.338026785714288,,,,,,,,,,
5,6901755.0,2016-07-10 18:00:00,58.01375,-29.348633928571427,,,,,,,,,,
6,6901755.0,2016-07-11 00:00:00,58.022573233374985,-29.356351242537826,-1.7802560389231999e-07,3.158658575085603e-08,-4.795406609942263e-07,-6.259796791356903e-07,-7.705585434049047e-09,-7.191349661583335e-08,7.457480326560952e-07,6.661289506062127e-07,105.33,14.666181237398462
7,6901755.0,2016-07-11 06:00:00,58.03099472442038,-29.35750076357073,-1.9952499663328479e-07,3.793606946612232e-08,-5.030717975348443e-07,-6.646607247020068e-07,-9.294847529689353e-09,-8.675244277646591e-08,8.203682351508278e-07,7.243209448446725e-07,105.31,14.598814163186375
8,6901755.0,2016-07-11 12:00:00,58.03941621546578,-29.35865028460363,-2.0270766544528527e-07,4.0992885363748275e-08,-5.017231939323034e-07,-6.634379740138404e-07,-1.0063425302840653e-08,-9.393337459791045e-08,8.347678688125213e-07,7.307710689117701e-07,105.29,14.531412564591562
9,6901755.0,2016-07-11 18:00:00,58.04783770651118,-29.359799805636534,-2.2523241714463923e-07,5.12488961577e-08,-5.208590027648961e-07,-6.948425237518352e-07,-1.2598383847904977e-08,-1.1760439916153652e-07,9.18223734650531e-07,7.880209516410895e-07,105.26,14.463976464033124
10,6901755.0,2016-07-12 00:00:00,58.05625919755658,-29.360949326669438,-1.9905648521782857e-07,4.381455694555112e-08,-4.898367783569042e-07,-6.450787066291816e-07,-1.077695613907346e-08,-1.006096084076938e-07,8.29181297195505e-07,7.177947326487378e-07,105.24,14.396505883913903
11,6901755.0,2016-07-12 06:00:00,58.064680688601975,-29.362098847702338,-1.6206920453495323e-07,3.131154551172694e-08,-4.4831340353132516e-07,-5.790710625545515e-07,-7.64800304461472e-09,-7.140456638402864e-08,6.956355505599696e-07,6.165829811313263e-07,105.22,14.329000846621966
12,6901755.0,2016-07-12 12:00:00,58.07310217964737,-29.363248368735242,-1.2569647967187064e-07,2.293025033224575e-08,-3.9519356533729354e-07,-4.979597946769184e-07,-5.526172271421286e-09,-5.159848170705366e-08,5.656693917001455e-07,5.085447377216706e-07,105.19,14.261461374527471
13,6901755.0,2016-07-12 18:00:00,58.08152367069277,-29.364397889768146,-6.915224151744288e-08,9.208059851452444e-09,-3.0691788332258323e-07,-3.6686206498857365e-07,-1.994241060806202e-09,-1.8621930654399864e-08,3.468370313087297e-07,3.262208595935237e-07,105.17,14.193887489985627
14,6901755.0,2016-07-13 00:00:00,58.089945161738164,-29.36554741080105,-1.3406880568978575e-08,7.852686796545091e-10,-1.6204161648951072e-07,-1.7466322837883478e-07,-4.575477778373873e-11,-4.272853747093521e-10,9.677239226157897e-08,9.629935210908589e-08,105.15,14.126279215334478
15,6901755.0,2016-07-13 06:00:00,58.09836665278357,-29.36669693183395,-3.597736204528176e-08,3.167735578145498e-09,-2.418061116020922e-07,-2.7461573806922843e-07,-5.054701432753247e-10,-4.720756398191353e-09,2.0726248203165396e-07,2.0203625549018728e-07,105.12,14.058636572898024
16,6901755.0,2016-07-13 12:00:00,58.106788143828965,-29.367846452866853,-1.2164317806203625e-07,1.85986731976993e-08,-4.026315483061837e-07,-5.056760531705207e-07,-4.392035373338527e-09,-4.1021958887800975e-08,5.459065858271337e-07,5.004925915659942e-07,105.1,13.990959584981567
17,6901755.0,2016-07-13 18:00:00,58.11520963487436,-29.368995973899757,-3.729153164403124e-07,8.929757624795295e-08,-6.769059776966413e-07,-9.605237178890008e-07,-1.9840728011302144e-08,-1.8532867953040124e-07,1.3203894099000912e-06,1.115220002358388e-06,105.08,13.923248273875629
18,6901755.0,2016-07-14 00:00:00,58.12363112591976,-29.370145494932657,-5.674732026579855e-07,1.2888745066074454e-07,-8.541993125369824e-07,-1.2927850645342234e-06,-2.5721746374005802e-08,-2.402812707218798e-07,1.7520530121009425e-06,1.486049995005057e-06,105.05,13.855502661854644
19,6901755.0,2016-07-14 06:00:00,58.132052616965154,-29.37129501596556,-2.1773317996356334e-07,2.4576508697570054e-08,-5.942562729767784e-07,-7.874129442427717e-07,-5.807885725114879e-09,-5.4259020601259855e-08,8.660675851330295e-07,8.060006788066548e-07,105.03,13.787722771177812
20,6901755.0,2016-07-14 12:00:00,58.14047410801055,-29.372444536998465,-2.1458585826710157e-07,2.3337550881082483e-08,-5.956531395191774e-07,-7.869014469051965e-07,-5.490477443283366e-09,-5.129775949112523e-08,8.565544889383936e-07,7.99766252003985e-07,105.01,13.719908624085917
21,6901755.0,2016-07-14 18:00:00,58.14889559905595,-29.37359405803137,-1.8285795179482127e-07,1.8220859390288913e-08,-5.602199424624533e-07,-7.248570348669857e-07,-4.20567540097013e-09,-3.92969108876867e-08,7.555746487342563e-07,7.120720624455995e-07,104.98,13.652060242806385
22,6901755.0,2016-07-15 00:00:00,58.15731709010135,-29.37474357906427,-1.5408228648825522e-07,1.3815261373952495e-08,-5.271121079977217e-07,-6.673791331120244e-07,-3.0942918030578678e-09,-2.89146728924085e-08,6.617331016405584e-07,6.297241369450919e-07,104.96,13.584177649548906
23,6901755.0,2016-07-15 06:00:00,58.16573858114675,-29.375893100097173,-1.1371875706829204e-06,4.0790873344578133e-07,-1.1800628324892117e-06,-1.909341669726351e-06,-5.73606445685087e-08,-5.360500898698989e-07,2.817212954539357e-06,2.2238022201009496e-06,104.94,13.516260866508162
24,6901755.0,2016-07-15 12:00:00,58.174160072192144,-29.377042621130077,-7.008138158710353e-07,2.4243936363371687e-07,-9.132905288541698e-07,-1.3716649810914883e-06,-4.040471324907706e-08,-3.776223506582139e-07,2.038113929296564e-06,1.620086865389273e-06,104.91,13.448309915861387
25,6901755.0,2016-07-15 18:00:00,58.18258156323754,-29.378192142162977,-6.332215233916793e-07,1.958702420744725e-07,-8.720904527088031e-07,-1.30944173402601e-06,-3.4768839516739745e-08,-3.2497514679739534e-07,1.8921489518019279e-06,1.532404965487793e-06,104.89,13.380324819772454
26,6901755.0,2016-07-16 00:00:00,58.19100305428294,-29.37934166319588,-4.000860784931896e-07,8.774035248316771e-08,-7.113809459305456e-07,-1.0237266719405675e-06,-1.9468083188599965e-08,-1.8197738329796692e-07,1.3843737860052783e-06,1.1829283195187116e-06,104.86,13.312305600386878
27,6901755.0,2016-07-16 06:00:00,58.199424545328334,-29.380491184228784,-1.8268864286775553e-07,2.6371698566730305e-08,-5.071526347094219e-07,-6.634695790104472e-07,-6.307471510006007e-09,-5.896356968997093e-08,7.527948113977768e-07,6.875237701977999e-07,104.84,13.244252279834654
28,6901755.0,2016-07-16 12:00:00,58.20784603637373,-29.381640705261688,-3.918782070737785e-08,2.7433585961081494e-09,-2.7202572588988957e-07,-3.0847018800115927e-07,-4.0630705339074346e-10,-3.798543102980538e-09,2.2465992280790636e-07,2.2045507265153506e-07,104.82,13.176164880231227
29,6901755.0,2016-07-16 18:00:00,58.216267527419134,-29.38279022629459,-8.78914638074917e-09,3.0694983368440475e-10,-1.557906022967801e-07,-1.6427279884384486e-07,-2.6777703450347947e-12,-2.5036304796000667e-11,7.295105240376822e-08,7.292333832862719e-08,104.79,13.108043423674815
