,WMO,Prof,Date,Lat,Lon,O2Inv,O2EqInv
0,4900345.0,1.0,2004-06-17 07:31:58.997666,51.777,-48.455,32.15372244410749,31.089766995549834
1,4900345.0,2.0,2004-06-22 06:20:07.002064,51.927,-48.621,32.022383706887325,30.90088343890169
2,4900345.0,3.0,2004-06-27 06:10:02.001279,51.922,-48.595,29.384063286378037,30.39693423170316
3,4900345.0,4.0,2004-07-02 05:02:43.000051,52.016,-48.36,30.221118869991823,30.14269782650113
4,4900345.0,5.0,2004-07-07 03:32:44.000407,51.742,-48.534,30.620591235129005,30.23790949947488
5,4900345.0,6.0,2004-07-12 02:22:33.999988,51.726,-48.597,31.022049241589002,30.909569745406774
6,4900345.0,7.0,2004-07-17 04:17:09.000804,52.089,-49.035,30.56678411771946,30.824159284620126
7,4900345.0,8.0,2004-07-22 05:52:26.999642,52.022,-49.29,30.179403894131543,30.303848520453325
8,4900345.0,9.0,2004-07-27 04:19:04.000621,52.048,-49.102,29.885887389169017,30.38972361485985
9,4900345.0,10.0,2004-08-01 03:38:56.999558,52.129,-49.493,29.555794297306587,30.430083774112642
10,4900345.0,11.0,2004-08-06 02:46:22.000776,52.01,-49.488,28.82523992194258,30.269445931887418
11,4900345.0,12.0,2004-08-11 05:02:27.999853,52.079,-49.199,29.442893289572368,30.132058736387243
12,4900345.0,13.0,2004-08-16 03:59:06.999832,51.575,-48.977,30.797816119603663,30.68959225811416
13,4900345.0,14.0,2004-08-21 05:34:26.000313,51.711,-49.041,30.6137941885087,30.387658656657845
14,4900345.0,15.0,2004-08-26 02:09:24.000172,51.722,-48.814,29.700147729858706,29.99206560824075
15,4900345.0,16.0,2004-08-31 06:25:38.999455,51.621,-48.644,29.44223279527044,29.547144692988454
16,4900345.0,17.0,2004-09-05 03:40:18.000119,51.274,-48.557,28.890928692195477,29.843034832144262
17,4900345.0,18.0,2004-09-10 07:00:25.998393,50.909,-48.423,28.958781128673767,29.949720158931076
18,4900345.0,19.0,2004-09-15 04:42:17.000510,50.724,-47.964,27.911409928937232,29.983290718818225
19,4900345.0,20.0,2004-09-20 04:01:36.000192,50.516,-47.989,28.723869088274736,29.897626551234087
20,4900345.0,21.0,2004-09-25 05:34:04.000195,50.347,-48.158,27.483697153712814,30.214001917522797
